ID_LUOGO,ID_NAZIONE,DENOMINAZIONE,STATO,TIPO_LUOGO,COD_MF,ID_LUOGO_NUOVO,ID_PROVINCIA,COD_ISTAT,CAP,COD_CATASTALE,DT_INIZIO_VALIDITA,DT_FINE_VALIDITA,DT_INSERIMENTO,DT_AGGIORNAMENTO,ID_LUOGO_FONTE,FLAG_CERTIFICATO
51142,100,CAMPIGLIA DEI BERICI,0,ITA,B511,51142,24,024022,36147,B511,1900-01-01,4712-12-31,2000-05-12,2000-05-12,51142,N
51268,100,PIANIGA,0,ITA,G565,51268,27,027028,30982,G565,1900-01-01,4712-12-31,2000-05-12,2000-05-12,51268,N
51461,100,ROSSANO VENETO,0,ITA,H580,51461,24,024088,36819,H580,1900-01-01,4712-12-31,2000-05-12,2000-05-12,51461,N
50697,100,POVE DEL GRAPPA,0,ITA,G943,50697,24,024081,36994,G943,1900-01-01,4712-12-31,2000-05-12,2000-05-12,50697,N
50758,100,LAGHI,0,ITA,E403,50758,24,024049,36924,E403,1900-01-01,4712-12-31,2000-05-12,2000-05-12,50758,N
50821,100,CALDOGNO,0,ITA,B403,50821,24,024018,36858,B403,1900-01-01,4712-12-31,2000-05-12,2000-05-12,50821,N
40714,100,ZEVIO,0,ITA,M172,40714,23,023097,37050,M172,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40714,N
40839,100,ALTAVILLA VICENTINA,0,ITA,A231,40839,24,024004,36093,A231,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40839,N
40840,100,PADOVA,0,ITA,G224,40840,28,028060,35423,G224,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40840,N
40071,100,COLOGNA VENETA,0,ITA,C890,40071,23,023027,37076,C890,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40071,N
-813,100,MIRA,1,ITA,D893,16452,27,,30556,D893,,,,,-813,N
-1013,100,VENEZIA,1,ITA,E845,32327,27,,30295,E845,,,,,-1013,N
-1199,100,VENEZIA,1,ITA,F807,32327,27,,30952,F807,,,,,-1199,N
-1072,100,VENEZIA,1,ITA,F159,32327,27,,30369,F159,,,,,-1072,N
-742,100,VENEZIA,1,ITA,D515,32327,27,,30663,D515,,,,,-742,N
-260,100,VENEZIA,1,ITA,B273,32327,27,,30721,B273,,,,,-260,N
-1319,100,VENEZIA,1,ITA,G425,32327,27,,30442,G425,,,,,-1319,N
-542,100,VENEZIA,1,ITA,C647,32327,27,,30846,C647,,,,,-542,N
-2125,100,VENEZIA,1,ITA,M154,32327,27,,30601,M154,,,,,-2125,N
40132,100,FONTE,0,ITA,D680,40132,26,026029,31576,D680,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40132,N
40133,100,SANT'URBANO,0,ITA,I375,40133,28,028084,35374,I375,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40133,N
40201,100,CAMPOLONGO MAGGIORE,0,ITA,B546,40201,27,027003,30654,B546,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40201,N
40326,100,RIVOLI VERONESE,0,ITA,H356,40326,23,023062,37722,H356,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40326,N
40392,100,DOLCE',0,ITA,D317,40392,23,023031,37586,D317,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40392,N
40393,100,QUINTO DI TREVISO,0,ITA,H131,40393,26,026064,31993,H131,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40393,N
40453,100,GODEGA DI SANT'URBANO,0,ITA,E071,40453,26,026033,31034,E071,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40453,N
39688,100,VAZZOLA,0,ITA,L700,39688,26,026088,31826,L700,1900-01-01,4712-12-31,2000-05-12,2000-05-12,39688,N
46023,100,AFFI,0,ITA,A061,46023,23,023001,37539,A061,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46023,N
46024,100,ZUGLIANO,0,ITA,M199,46024,24,024122,36634,M199,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46024,N
46025,100,LIMANA,0,ITA,E588,46025,25,025029,32218,E588,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46025,N
46084,100,ASOLO,0,ITA,A471,46084,26,026003,31517,A471,1900-01-01,4712-12-31,2000-05-12,2000-05-12,46084,N
45701,100,VILLAVERLA,0,ITA,M032,45701,24,024118,36426,M032,1900-01-01,4712-12-31,2000-05-12,2000-05-12,45701,N
45127,100,POJANA MAGGIORE,0,ITA,G776,45127,24,024079,36064,G776,1900-01-01,4712-12-31,2000-05-12,2000-05-12,45127,N
45189,100,SEDICO,0,ITA,I563,45189,25,025053,32008,I563,1900-01-01,4712-12-31,2000-05-12,2000-05-12,45189,N
45252,100,FONZASO,0,ITA,D686,45252,25,025022,32007,D686,1900-01-01,4712-12-31,2000-05-12,2000-05-12,45252,N
44871,100,SAN TOMASO AGORDINO,0,ITA,I347,44871,25,025049,32671,I347,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44871,N
44934,100,DOMEGGE DI CADORE,0,ITA,D330,44934,25,025018,32522,D330,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44934,N
44360,100,NOGAROLE VICENTINO,0,ITA,F922,44360,24,024072,36932,F922,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44360,N
44361,100,SAN PIETRO VIMINARIO,0,ITA,I120,44361,28,028079,35369,I120,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44361,N
-290,100,ADRIA,1,ITA,B348,6598,29,,45070,B348,,,,,-290,N
59208,100,SAN ZENO DI MONTAGNA,0,ITA,I414,59208,23,023079,37724,I414,1900-01-01,4712-12-31,2000-05-12,2000-05-12,59208,N
44611,100,TORREBELVICINO,0,ITA,L248,44611,24,024107,36593,L248,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44611,N
43844,100,SCHIO,0,ITA,I531,43844,24,024100,36230,I531,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43844,N
43845,100,BORCA DI CADORE,0,ITA,A982,43845,25,025007,32024,A982,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43845,N
44039,100,MONTORSO VICENTINO,0,ITA,F696,44039,24,024068,36331,F696,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44039,N
44103,100,CRESPADORO,0,ITA,D156,44103,24,024037,36360,D156,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44103,N
44104,100,QUERO,1,ITA,H124,44104,25,025042,32540,H124,1900-01-01,2013-12-27,2000-05-12,2000-05-12,44104,N
44165,100,CESIOMAGGIORE,0,ITA,C577,44165,25,025011,32163,C577,1900-01-01,4712-12-31,2000-05-12,2000-05-12,44165,N
43463,100,SANTO STINO DI LIVENZA,1,ITA,I373,43463,27,027036,30840,I373,1900-01-01,2013-04-16,2000-05-12,2000-05-12,43463,N
43590,100,RUBANO,0,ITA,H625,43590,28,028072,35881,H625,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43590,N
43591,100,GUARDA VENETA,0,ITA,E240,43591,29,029028,45022,E240,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43591,N
43653,100,SAN VITO DI LEGUZZANO,0,ITA,I401,43653,24,024096,36745,I401,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43653,N
43014,100,CASSOLA,0,ITA,C037,43014,24,024026,36013,C037,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43014,N
43273,100,MONTECCHIO MAGGIORE,0,ITA,F464,43273,24,024061,36918,F464,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43273,N
41606,100,PONSO,0,ITA,G823,41606,28,028067,35964,G823,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41606,N
41669,100,ROVIGO,0,ITA,H620,41669,29,029041,45223,H620,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41669,N
41098,100,SAN BONIFACIO,0,ITA,H783,41098,23,023069,37753,H783,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41098,N
41159,100,GREZZANA,0,ITA,E171,41159,23,023038,37736,E171,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41159,N
41221,100,URBANA,0,ITA,L497,41221,28,028095,35319,L497,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41221,N
40518,100,MONTAGNANA,0,ITA,F394,40518,28,028056,35716,F394,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40518,N
40579,100,CARRARA SANTO STEFANO,1,ITA,B834,40579,28,028025,35232,B834,1900-01-01,1995-03-23,2001-12-24,2001-12-24,40579,N
40580,100,LOREO,0,ITA,E689,40580,29,029030,45522,E689,1900-01-01,4712-12-31,2000-05-12,2000-05-12,40580,N
47621,100,BARBONA,0,ITA,A637,47621,28,028010,35665,A637,1900-01-01,4712-12-31,2000-05-12,2000-05-12,47621,N
42757,100,PORTO VIRO,0,ITA,G926,42757,29,029052,45938,G926,1995-01-01,4712-12-31,1995-02-15,1995-02-15,42757,N
42821,100,FICAROLO,0,ITA,D568,42821,29,029021,45308,D568,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42821,N
42951,100,MAROSTICA,0,ITA,E970,42951,24,024057,36639,E970,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42951,N
42184,100,LASTEBASSE,0,ITA,E465,42184,24,024050,36043,E465,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42184,N
42185,100,DUE CARRARE,0,ITA,M300,42185,28,028106,35289,M300,1995-03-24,4712-12-31,2003-06-10,2003-06-10,42185,N
42373,100,MUSILE DI PIAVE,0,ITA,F826,42373,27,027025,30279,F826,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42373,N
42439,100,VILLADOSE,0,ITA,L939,42439,29,029048,45734,L939,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42439,N
42503,100,CORBOLA,0,ITA,C987,42503,29,029017,45208,C987,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42503,N
42567,100,ROANA,0,ITA,H361,42567,24,024085,36492,H361,1900-01-01,4712-12-31,2000-05-12,2000-05-12,42567,N
41735,100,CANDA,0,ITA,B582,41735,29,029010,45146,B582,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41735,N
41864,100,GRISIGNANO DI ZOCCO,0,ITA,E184,41864,24,024046,36218,E184,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41864,N
41928,100,BRENDOLA,0,ITA,B143,41928,24,024015,36272,B143,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41928,N
41286,100,FIESSO D'ARTICO,0,ITA,D578,41286,27,027014,30632,D578,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41286,N
41348,100,POLESELLA,0,ITA,G782,41348,29,029037,45649,G782,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41348,N
41413,100,SAN MARTINO BUON ALBERGO,0,ITA,I003,41413,23,023073,37049,I003,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41413,N
41414,100,BERGANTINO,0,ITA,A795,41414,29,029006,45449,A795,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41414,N
41480,100,SANTA LUCIA DI PIAVE,0,ITA,I221,41480,26,026075,31459,I221,1900-01-01,4712-12-31,2000-05-12,2000-05-12,41480,N
38923,100,MEZZANE DI SOTTO,0,ITA,F172,38923,23,023047,37107,F172,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38923,N
38924,100,SILEA,0,ITA,F116,38924,26,026081,31570,F116,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38924,N
38980,100,BUTTAPIETRA,0,ITA,B304,38980,23,023016,37664,B304,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38980,N
38981,100,MOTTA DI LIVENZA,0,ITA,F770,38981,26,026049,31002,F770,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38981,N
39045,100,CISON DI VALMARINO,0,ITA,C735,39045,26,026018,31273,C735,1900-01-01,4712-12-31,2000-05-12,2000-05-12,39045,N
39239,100,MOZZECANE,0,ITA,F789,39239,23,023051,37664,F789,1900-01-01,4712-12-31,2000-05-12,2000-05-12,39239,N
38152,100,ISOLA DELLA SCALA,0,ITA,E349,38152,23,023040,37244,E349,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38152,N
38153,100,ZOLDO ALTO,1,ITA,I345,38153,25,025068,32090,I345,1900-01-01,2016-11-15,2000-05-12,2000-05-12,38153,N
38216,100,PERAROLO DI CADORE,0,ITA,G442,38216,25,025037,32453,G442,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38216,N
38217,100,MIANE,0,ITA,F190,38217,26,026042,31665,F190,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38217,N
38275,100,CASTELCUCCO,0,ITA,C073,38275,26,026011,31133,C073,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38275,N
38342,100,CONSELVE,0,ITA,C964,38342,28,028034,35349,C964,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38342,N
38407,100,ALBIGNASEGO,0,ITA,A161,38407,28,028003,35359,A161,1900-01-01,4712-12-31,2000-05-12,2000-05-12,38407,N
37894,100,BADIA CALAVENA,0,ITA,A540,37894,23,023005,37030,A540,1900-01-01,4712-12-31,2000-05-12,2000-05-12,37894,N
37957,100,CAPPELLA MAGGIORE,0,ITA,B678,37957,26,026007,31100,B678,1900-01-01,4712-12-31,2000-05-12,2000-05-12,37957,N
37382,100,TRICHIANA,1,ITA,L422,37382,25,025061,32152,L422,1900-01-01,2019-01-30,2000-05-12,2000-05-12,37382,N
37446,100,LIVINALLONGO DEL COL DI LANA,0,ITA,E622,37446,25,025030,32065,E622,1900-01-01,4712-12-31,2000-05-12,2000-05-12,37446,N
37061,100,SOVERZENE,0,ITA,I876,37061,25,025057,32591,I876,1900-01-01,4712-12-31,2000-05-12,2000-05-12,37061,N
37128,100,LAMON,0,ITA,E429,37128,25,025026,32160,E429,1900-01-01,4712-12-31,2000-05-12,2000-05-12,37128,N
36807,100,VELO D'ASTICO,0,ITA,L723,36807,24,024115,36643,L723,1900-01-01,4712-12-31,2000-05-12,2000-05-12,36807,N
36230,100,PEDEMONTE,0,ITA,G406,36230,24,024076,36517,G406,1900-01-01,4712-12-31,2000-05-12,2000-05-12,36230,N
36292,100,SANTO STEFANO DI CADORE,0,ITA,C919,36292,25,025050,32673,C919,1900-01-01,4712-12-31,2000-05-12,2000-05-12,36292,N
43334,100,CHIUPPANO,0,ITA,C650,43334,24,024030,36250,C650,1900-01-01,4712-12-31,2000-05-12,2000-05-12,43334,N
35717,100,TEZZE SUL BRENTA,0,ITA,L156,35717,24,024104,36837,L156,1900-01-01,4712-12-31,2000-05-12,2000-05-12,35717,N
35975,100,SAN NICOLO' DI COMELICO,0,ITA,I063,35975,25,025046,32543,I063,1900-01-01,4712-12-31,2000-05-12,2000-05-12,35975,N
36037,100,COMELICO SUPERIORE,0,ITA,C920,36037,25,025015,32295,C920,1900-01-01,4712-12-31,2000-05-12,2000-05-12,36037,N
35465,100,SAN GIORGIO IN BOSCO,0,ITA,H897,35465,28,028076,35485,H897,1900-01-01,4712-12-31,2000-05-12,2000-05-12,35465,N
34949,100,ARSIE',0,ITA,A443,34949,25,025004,32026,A443,1900-01-01,4712-12-31,2000-05-12,2000-05-12,34949,N
-1661,100,BORGORICCO,1,ITA,I043,56517,28,,35590,I043,,,,,-1661,N
-1495,100,CURTAROLO,1,ITA,H241,4296,28,,35184,H241,,,,,-1495,N
57992,100,CINTO CAOMAGGIORE,0,ITA,C714,57992,27,027009,30556,C714,1900-01-01,4712-12-31,2000-05-12,2000-05-12,57992,N
58246,100,TRIBANO,0,ITA,L414,58246,28,028094,35899,L414,1900-01-01,4712-12-31,2000-05-12,2000-05-12,58246,N
58310,100,ERACLEA,0,ITA,D415,58310,27,027013,30301,D415,1951-01-25,4712-12-31,2023-03-16,2023-03-16,58310,N
58371,100,PINCARA,0,ITA,G673,58371,29,029036,45139,G673,1900-01-01,4712-12-31,2000-05-12,2000-05-12,58371,N
59209,100,VO',0,ITA,M103,59209,28,028105,35216,M103,1900-01-01,4712-12-31,2000-05-12,2000-05-12,59209,N
58629,100,POLVERARA,0,ITA,G802,58629,28,028066,35114,G802,1900-01-01,4712-12-31,2000-05-12,2000-05-12,58629,N
35144,100,MONTEGALDELLA,0,ITA,F515,35144,24,024065,36711,F515,1900-01-01,4712-12-31,2000-05-12,2000-05-12,35144,N
39430,100,LIMENA,0,ITA,E592,39430,28,028045,35169,E592,1900-01-01,4712-12-31,2000-05-12,2000-05-12,39430,N
39493,100,BOVOLENTA,0,ITA,B106,39493,28,028014,35439,B106,1900-01-01,4712-12-31,2000-05-12,2000-05-12,39493,N
39625,100,TORRI DEL BENACO,0,ITA,L287,39625,23,023086,37593,L287,1900-01-01,4712-12-31,2000-05-12,2000-05-12,39625,N
29447,100,CINTO EUGANEO,0,ITA,C713,29447,28,028031,35533,C713,1900-01-01,4712-12-31,2000-05-12,2000-05-12,29447,N
28999,100,ALBAREDO D'ADIGE,0,ITA,A137,28999,23,023002,37553,A137,1900-01-01,4712-12-31,2000-05-12,2000-05-12,28999,N
29060,100,BORSO DEL GRAPPA,0,ITA,B061,29060,26,026004,31937,B061,1900-01-01,4712-12-31,2000-05-12,2000-05-12,29060,N
34058,100,LUSIANA,1,ITA,E762,34058,24,024054,36701,E762,1900-01-01,2019-02-20,2000-05-12,2000-05-12,34058,N
34117,100,CAMPOLONGO SUL BRENTA,1,ITA,B547,34117,24,024023,36008,B547,1900-01-01,2019-01-30,2000-05-12,2000-05-12,34117,N
34244,100,PORTOGRUARO,0,ITA,G914,34244,27,027029,30365,G914,1900-01-01,4712-12-31,2000-05-12,2000-05-12,34244,N
34437,100,ROTZO,0,ITA,H594,34437,24,024089,36283,H594,1900-01-01,4712-12-31,2000-05-12,2000-05-12,34437,N
33672,100,POZZOLEONE,0,ITA,G957,33672,24,024082,36069,G957,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33672,N
33800,100,CALTRANO,0,ITA,B433,33800,24,024019,36576,B433,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33800,N
33159,100,GRUARO,0,ITA,E215,33159,27,027018,30856,E215,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33159,N
33288,100,SANT'AMBROGIO DI VALPOLICELLA,0,ITA,I259,33288,23,023077,37055,I259,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33288,N
33289,100,VILLAFRANCA PADOVANA,0,ITA,L947,33289,28,028103,35229,L947,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33289,N
33349,100,SEGUSINO,0,ITA,I578,33349,26,026079,31772,I578,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33349,N
33476,100,MEOLO,0,ITA,F130,33476,27,027022,30175,F130,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33476,N
33542,100,STIENTA,0,ITA,I953,33542,29,029045,45410,I953,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33542,N
23815,100,ALTISSIMO,0,ITA,A236,23815,24,024005,36457,A236,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23815,N
23816,100,PERNUMIA,0,ITA,G461,23816,28,028061,35323,G461,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23816,N
32969,100,GAMBELLARA,0,ITA,D897,32969,24,024043,36069,D897,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32969,N
33032,100,BASSANO DEL GRAPPA,0,ITA,A703,33032,24,024012,36199,A703,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33032,N
33093,100,VIGODARZERE,0,ITA,L892,33093,28,028099,35093,L892,1900-01-01,4712-12-31,2000-05-12,2000-05-12,33093,N
32326,100,MANSUE',0,ITA,E893,32326,26,026037,31990,E893,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32326,N
32327,100,VENEZIA,0,ITA,L736,32327,27,027042,30317,L736,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32327,N
32328,100,TORREGLIA,0,ITA,L270,32328,28,028092,35047,L270,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32328,N
32390,100,CONCORDIA SAGITTARIA,0,ITA,C950,32390,27,027011,30222,C950,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32390,N
24074,100,FARA VICENTINO,0,ITA,D496,24074,24,024040,36841,D496,1900-01-01,4712-12-31,2000-05-12,2000-05-12,24074,N
32450,100,CASTELBALDO,0,ITA,C057,32450,28,028029,35240,C057,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32450,N
32451,100,PAPOZZE,0,ITA,G323,32451,29,029034,45721,G323,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32451,N
23369,100,ERBE',0,ITA,D419,23369,23,023032,37449,D419,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23369,N
23370,100,REFRONTOLO,0,ITA,H220,23370,26,026065,31919,H220,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23370,N
32518,100,SAN GIOVANNI ILARIONE,0,ITA,H916,32518,23,023070,37577,H916,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32518,N
32519,100,ARQUA' POLESINE,0,ITA,A435,32519,29,029003,45718,A435,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32519,N
23429,100,GORGO AL MONTICANO,0,ITA,E092,23429,26,026034,31508,E092,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23429,N
32584,100,SAN FIOR,0,ITA,H843,32584,26,026072,31355,H843,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32584,N
23495,100,MONTEGROTTO TERME,0,ITA,F529,23495,28,028057,35773,F529,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23495,N
32708,100,ARZIGNANO,0,ITA,A459,32708,24,024008,36563,A459,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32708,N
32709,100,PIOMBINO DESE,0,ITA,G688,32709,28,028064,35286,G688,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32709,N
23554,100,CARTURA,0,ITA,B848,23554,28,028026,35943,B848,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23554,N
23555,100,LUSIA,0,ITA,E761,23555,29,029031,45612,E761,1900-01-01,4712-12-31,2000-05-12,2000-05-12,23555,N
31942,100,AGUGLIARO,0,ITA,A093,31942,24,024001,36041,A093,1900-01-01,4712-12-31,2000-05-12,2000-05-12,31942,N
32005,100,STANGHELLA,0,ITA,I938,32005,28,028088,35866,I938,1900-01-01,4712-12-31,2000-05-12,2000-05-12,32005,N
28676,100,ZANE',0,ITA,M145,28676,24,024119,36870,M145,1900-01-01,4712-12-31,2000-05-12,2000-05-12,28676,N
30537,100,GRANTORTO,0,ITA,E145,30537,28,028042,35556,E145,1900-01-01,4712-12-31,2000-05-12,2000-05-12,30537,N
30597,100,BATTAGLIA TERME,0,ITA,A714,30597,28,028011,35689,A714,1900-01-01,4712-12-31,2000-05-12,2000-05-12,30597,N
30025,100,LEGNAGO,0,ITA,E512,30025,23,023044,37826,E512,1900-01-01,4712-12-31,2000-05-12,2000-05-12,30025,N
30086,100,BRENTINO BELLUNO,0,ITA,B152,30086,23,023013,37201,B152,1900-01-01,4712-12-31,2000-05-12,2000-05-12,30086,N
30087,100,MONTEBELLUNA,0,ITA,F443,30087,26,026046,31736,F443,1900-01-01,4712-12-31,2000-05-12,2000-05-12,30087,N
30147,100,CESSALTO,0,ITA,C580,30147,26,026015,31989,C580,1900-01-01,4712-12-31,2000-05-12,2000-05-12,30147,N
