c_id_comune,c_cod_sigla_provincia,c_cod_istat_comune,c_cod_mf_comune,c_de_comune,c_vl_inizio,c_vl_fine,c_dt_agg,c_fk_provincia,c_de_provincia,fk_comune,num_ordinamento
47240,PD,028037,D442,ESTE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,47240,1
47304,PD,028006,A438,ARRE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,47304,1
46790,VR,023008,A837,BEVILACQUA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,46790,1
46278,BL,025064,L692,VAS,1900-01-01,2013-12-27,2000-05-12,41099,BELLUNO,46278,1
46342,BL,025033,E708,LOZZO DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,46342,1
46471,PD,028030,C544,CERVARESE SANTA CROCE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,46471,1
51910,VI,024029,C605,CHIAMPO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,51910,1
51082,VI,024053,E731,LUGO DI VICENZA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,51082,1
51142,VI,024022,B511,CAMPIGLIA DEI BERICI,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,51142,1
51268,VE,027028,G565,PIANIGA,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,51268,1
51461,VI,024088,H580,ROSSANO VENETO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,51461,1
50697,VI,024081,G943,POVE DEL GRAPPA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,50697,1
50758,VI,024049,E403,LAGHI,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,50758,1
50821,VI,024018,B403,CALDOGNO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,50821,1
40714,VR,023097,M172,ZEVIO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,40714,1
40839,VI,024004,A231,ALTAVILLA VICENTINA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,40839,1
40840,PD,028060,G224,PADOVA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,40840,1
40071,VR,023027,C890,COLOGNA VENETA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,40071,1
-813,VE,,D893,MIRA,,,,7051,VENEZIA,16452,1
-1013,VE,,E845,VENEZIA,,,,7051,VENEZIA,32327,1
-1199,VE,,F807,VENEZIA,,,,7051,VENEZIA,32327,1
-1072,VE,,F159,VENEZIA,,,,7051,VENEZIA,32327,1
-742,VE,,D515,VENEZIA,,,,7051,VENEZIA,32327,1
-260,VE,,B273,VENEZIA,,,,7051,VENEZIA,32327,1
-1319,VE,,G425,VENEZIA,,,,7051,VENEZIA,32327,1
-542,VE,,C647,VENEZIA,,,,7051,VENEZIA,32327,1
-2125,VE,,M154,VENEZIA,,,,7051,VENEZIA,32327,1
40132,TV,026029,D680,FONTE,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,40132,1
40133,PD,028084,I375,SANT'URBANO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,40133,1
40201,VE,027003,B546,CAMPOLONGO MAGGIORE,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,40201,1
40326,VR,023062,H356,RIVOLI VERONESE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,40326,1
40392,VR,023031,D317,DOLCE',1900-01-01,4712-12-31,2000-05-12,15178,VERONA,40392,1
40393,TV,026064,H131,QUINTO DI TREVISO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,40393,1
40453,TV,026033,E071,GODEGA DI SANT'URBANO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,40453,1
39688,TV,026088,L700,VAZZOLA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,39688,1
46023,VR,023001,A061,AFFI,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,46023,1
46024,VI,024122,M199,ZUGLIANO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,46024,1
46025,BL,025029,E588,LIMANA,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,46025,1
46084,TV,026003,A471,ASOLO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,46084,1
45701,VI,024118,M032,VILLAVERLA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,45701,1
45127,VI,024079,G776,POJANA MAGGIORE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,45127,1
45189,BL,025053,I563,SEDICO,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,45189,1
45252,BL,025022,D686,FONZASO,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,45252,1
44871,BL,025049,I347,SAN TOMASO AGORDINO,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,44871,1
44934,BL,025018,D330,DOMEGGE DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,44934,1
44360,VI,024072,F922,NOGAROLE VICENTINO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,44360,1
44361,PD,028079,I120,SAN PIETRO VIMINARIO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,44361,1
-290,RO,,B348,ADRIA,,,,32970,ROVIGO,6598,1
59208,VR,023079,I414,SAN ZENO DI MONTAGNA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,59208,1
44611,VI,024107,L248,TORREBELVICINO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,44611,1
43844,VI,024100,I531,SCHIO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,43844,1
43845,BL,025007,A982,BORCA DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,43845,1
44039,VI,024068,F696,MONTORSO VICENTINO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,44039,1
44103,VI,024037,D156,CRESPADORO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,44103,1
44104,BL,025042,H124,QUERO,1900-01-01,2013-12-27,2000-05-12,41099,BELLUNO,44104,1
44165,BL,025011,C577,CESIOMAGGIORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,44165,1
43463,VE,027036,I373,SANTO STINO DI LIVENZA,1900-01-01,2013-04-16,2000-05-12,7051,VENEZIA,43463,1
43590,PD,028072,H625,RUBANO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,43590,1
43591,RO,029028,E240,GUARDA VENETA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,43591,1
43653,VI,024096,I401,SAN VITO DI LEGUZZANO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,43653,1
43014,VI,024026,C037,CASSOLA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,43014,1
43273,VI,024061,F464,MONTECCHIO MAGGIORE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,43273,1
41606,PD,028067,G823,PONSO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,41606,1
41669,RO,029041,H620,ROVIGO,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,41669,1
41098,VR,023069,H783,SAN BONIFACIO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,41098,1
41159,VR,023038,E171,GREZZANA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,41159,1
41221,PD,028095,L497,URBANA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,41221,1
40518,PD,028056,F394,MONTAGNANA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,40518,1
40579,PD,028025,B834,CARRARA SANTO STEFANO,1900-01-01,1995-03-23,2001-12-24,49995,PADOVA,40579,1
40580,RO,029030,E689,LOREO,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,40580,1
47621,PD,028010,A637,BARBONA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,47621,1
42757,RO,029052,G926,PORTO VIRO,1995-01-01,4712-12-31,1995-02-15,32970,ROVIGO,42757,1
42821,RO,029021,D568,FICAROLO,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,42821,1
42951,VI,024057,E970,MAROSTICA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,42951,1
42184,VI,024050,E465,LASTEBASSE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,42184,1
42185,PD,028106,M300,DUE CARRARE,1995-03-24,4712-12-31,2003-06-10,49995,PADOVA,42185,1
42373,VE,027025,F826,MUSILE DI PIAVE,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,42373,1
42439,RO,029048,L939,VILLADOSE,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,42439,1
42503,RO,029017,C987,CORBOLA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,42503,1
42567,VI,024085,H361,ROANA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,42567,1
41735,RO,029010,B582,CANDA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,41735,1
41864,VI,024046,E184,GRISIGNANO DI ZOCCO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,41864,1
41928,VI,024015,B143,BRENDOLA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,41928,1
41286,VE,027014,D578,FIESSO D'ARTICO,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,41286,1
41348,RO,029037,G782,POLESELLA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,41348,1
41413,VR,023073,I003,SAN MARTINO BUON ALBERGO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,41413,1
41414,RO,029006,A795,BERGANTINO,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,41414,1
41480,TV,026075,I221,SANTA LUCIA DI PIAVE,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,41480,1
38923,VR,023047,F172,MEZZANE DI SOTTO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,38923,1
38924,TV,026081,F116,SILEA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,38924,1
38980,VR,023016,B304,BUTTAPIETRA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,38980,1
38981,TV,026049,F770,MOTTA DI LIVENZA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,38981,1
39045,TV,026018,C735,CISON DI VALMARINO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,39045,1
39239,VR,023051,F789,MOZZECANE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,39239,1
38152,VR,023040,E349,ISOLA DELLA SCALA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,38152,1
38153,BL,025068,I345,ZOLDO ALTO,1900-01-01,2016-11-15,2000-05-12,41099,BELLUNO,38153,1
38216,BL,025037,G442,PERAROLO DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,38216,1
38217,TV,026042,F190,MIANE,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,38217,1
38275,TV,026011,C073,CASTELCUCCO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,38275,1
38342,PD,028034,C964,CONSELVE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,38342,1
38407,PD,028003,A161,ALBIGNASEGO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,38407,1
37894,VR,023005,A540,BADIA CALAVENA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,37894,1
37957,TV,026007,B678,CAPPELLA MAGGIORE,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,37957,1
37382,BL,025061,L422,TRICHIANA,1900-01-01,2019-01-30,2000-05-12,41099,BELLUNO,37382,1
37446,BL,025030,E622,LIVINALLONGO DEL COL DI LANA,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,37446,1
37061,BL,025057,I876,SOVERZENE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,37061,1
37128,BL,025026,E429,LAMON,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,37128,1
36807,VI,024115,L723,VELO D'ASTICO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,36807,1
36230,VI,024076,G406,PEDEMONTE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,36230,1
36292,BL,025050,C919,SANTO STEFANO DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,36292,1
43334,VI,024030,C650,CHIUPPANO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,43334,1
35717,VI,024104,L156,TEZZE SUL BRENTA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,35717,1
35975,BL,025046,I063,SAN NICOLO' DI COMELICO,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,35975,1
36037,BL,025015,C920,COMELICO SUPERIORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,36037,1
35465,PD,028076,H897,SAN GIORGIO IN BOSCO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,35465,1
34949,BL,025004,A443,ARSIE',1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,34949,1
-1661,PD,,I043,BORGORICCO,,,,49995,PADOVA,56517,1
-1495,PD,,H241,CURTAROLO,,,,49995,PADOVA,4296,1
57992,VE,027009,C714,CINTO CAOMAGGIORE,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,57992,1
58246,PD,028094,L414,TRIBANO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,58246,1
58310,VE,027013,D415,ERACLEA,1951-01-25,4712-12-31,2023-03-16,7051,VENEZIA,58310,1
58371,RO,029036,G673,PINCARA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,58371,1
59209,PD,028105,M103,VO',1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,59209,1
58629,PD,028066,G802,POLVERARA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,58629,1
35144,VI,024065,F515,MONTEGALDELLA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,35144,1
39430,PD,028045,E592,LIMENA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,39430,1
39493,PD,028014,B106,BOVOLENTA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,39493,1
39625,VR,023086,L287,TORRI DEL BENACO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,39625,1
29447,PD,028031,C713,CINTO EUGANEO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,29447,1
28999,VR,023002,A137,ALBAREDO D'ADIGE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,28999,1
29060,TV,026004,B061,BORSO DEL GRAPPA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,29060,1
34058,VI,024054,E762,LUSIANA,1900-01-01,2019-02-20,2000-05-12,58123,VICENZA,34058,1
34117,VI,024023,B547,CAMPOLONGO SUL BRENTA,1900-01-01,2019-01-30,2000-05-12,58123,VICENZA,34117,1
34244,VE,027029,G914,PORTOGRUARO,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,34244,1
34437,VI,024089,H594,ROTZO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,34437,1
33672,VI,024082,G957,POZZOLEONE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,33672,1
33800,VI,024019,B433,CALTRANO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,33800,1
33159,VE,027018,E215,GRUARO,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,33159,1
33288,VR,023077,I259,SANT'AMBROGIO DI VALPOLICELLA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,33288,1
33289,PD,028103,L947,VILLAFRANCA PADOVANA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,33289,1
33349,TV,026079,I578,SEGUSINO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,33349,1
33476,VE,027022,F130,MEOLO,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,33476,1
33542,RO,029045,I953,STIENTA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,33542,1
23815,VI,024005,A236,ALTISSIMO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,23815,1
23816,PD,028061,G461,PERNUMIA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,23816,1
32969,VI,024043,D897,GAMBELLARA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,32969,1
33032,VI,024012,A703,BASSANO DEL GRAPPA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,33032,1
33093,PD,028099,L892,VIGODARZERE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,33093,1
32326,TV,026037,E893,MANSUE',1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,32326,1
32327,VE,027042,L736,VENEZIA,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,32327,1
32328,PD,028092,L270,TORREGLIA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,32328,1
32390,VE,027011,C950,CONCORDIA SAGITTARIA,1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,32390,1
24074,VI,024040,D496,FARA VICENTINO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,24074,1
32450,PD,028029,C057,CASTELBALDO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,32450,1
32451,RO,029034,G323,PAPOZZE,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,32451,1
23369,VR,023032,D419,ERBE',1900-01-01,4712-12-31,2000-05-12,15178,VERONA,23369,1
23370,TV,026065,H220,REFRONTOLO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,23370,1
32518,VR,023070,H916,SAN GIOVANNI ILARIONE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,32518,1
32519,RO,029003,A435,ARQUA' POLESINE,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,32519,1
23429,TV,026034,E092,GORGO AL MONTICANO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,23429,1
32584,TV,026072,H843,SAN FIOR,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,32584,1
23495,PD,028057,F529,MONTEGROTTO TERME,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,23495,1
32708,VI,024008,A459,ARZIGNANO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,32708,1
32709,PD,028064,G688,PIOMBINO DESE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,32709,1
23554,PD,028026,B848,CARTURA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,23554,1
23555,RO,029031,E761,LUSIA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,23555,1
31942,VI,024001,A093,AGUGLIARO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,31942,1
32005,PD,028088,I938,STANGHELLA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,32005,1
28676,VI,024119,M145,ZANE',1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,28676,1
30537,PD,028042,E145,GRANTORTO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,30537,1
30597,PD,028011,A714,BATTAGLIA TERME,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,30597,1
30025,VR,023044,E512,LEGNAGO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,30025,1
30086,VR,023013,B152,BRENTINO BELLUNO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,30086,1
30087,TV,026046,F443,MONTEBELLUNA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,30087,1
30147,TV,026015,C580,CESSALTO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,30147,1
30216,PD,028038,D679,FONTANIVA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,30216,1
30281,PD,028007,A458,ARZERGRANDE,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,30281,1
31304,PD,028049,F013,MASI,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,31304,1
31365,PD,028018,B531,CAMPODORO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,31365,1
31498,TV,026061,G933,POSSAGNO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,31498,1
30730,VR,023083,I826,SONA,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,30730,1
30794,TV,026085,L402,TREVIGNANO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,30794,1
30407,TV,026050,F872,NERVESA DELLA BATTAGLIA,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,30407,1
29766,VR,023009,A964,BONAVIGO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,29766,1
58122,VR,023068,H714,SALIZZOLE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,58122,1
58183,VR,023037,D957,GAZZO VERONESE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,58183,1
57604,PD,028024,B833,CARRARA SAN GIORGIO,1900-01-01,1995-03-23,2001-12-24,49995,PADOVA,57604,1
58437,VR,023072,H944,SANGUINETTO,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,58437,1
33607,RO,029014,C461,CENESELLI,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,33607,1
29255,BL,025065,L890,VIGO DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,29255,1
29319,BL,025034,F094,MEL,1900-01-01,2019-01-30,2000-05-12,41099,BELLUNO,29319,1
27335,VI,024073,F957,NOVE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,27335,1
26820,VI,024101,I783,SOLAGNA,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,26820,1
26821,BL,025008,B375,CALALZO DI CADORE,1900-01-01,4712-12-31,2000-05-12,41099,BELLUNO,26821,1
27015,VI,024069,F768,MOSSANO,1900-01-01,2006-02-06,2006-02-07,58123,VICENZA,27015,1
-135,VR,,A758,BRENTINO BELLUNO,,,,15178,VERONA,30086,1
-229,VR,,B151,BRENTINO BELLUNO,,,,15178,VERONA,30086,1
-1095,VR,,F252,VERONA,,,,15178,VERONA,22920,1
-1715,VR,,I246,VERONA,,,,15178,VERONA,22920,1
-1297,VR,,G341,VERONA,,,,15178,VERONA,22920,1
-1655,VR,,I022,VERONA,,,,15178,VERONA,22920,1
-1174,VR,,F691,VERONA,,,,15178,VERONA,22920,1
-1459,VR,,H133,VERONA,,,,15178,VERONA,22920,1
-1466,VR,,H142,VERONA,,,,15178,VERONA,22920,1
-88,VR,,A513,VERONA,,,,15178,VERONA,22920,1
-287,VR,,B342,VERONA,,,,15178,VERONA,22920,1
-1449,VR,,H084,NEGRAR,,,,15178,VERONA,22215,1
-624,VR,,D039,GAZZO VERONESE,,,,15178,VERONA,58183,1
-473,VR,,C326,COSTERMANO,,,,15178,VERONA,57418,1
-149,VR,,A838,BEVILACQUA,,,,15178,VERONA,46790,1
-1030,VR,,E926,SAN MARTINO BUON ALBERGO,,,,15178,VERONA,41413,1
-1211,VR,,F860,SAN PIETRO IN CARIANO,,,,15178,VERONA,50311,1
-1660,VR,,I041,CAPRINO VERONESE,,,,15178,VERONA,4933,1
-230,VR,,B155,FUMANE,,,,15178,VERONA,32262,1
26249,VI,024062,F465,MONTECCHIO PRECALCINO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,26249,1
31238,TV,026026,D505,FARRA DI SOLIGO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,31238,1
31239,PD,028081,I226,SANTA MARGHERITA D'ADIGE,1900-01-01,2018-02-16,2000-05-12,49995,PADOVA,31239,1
24324,RO,029038,G836,PONTECCHIO POLESINE,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,24324,1
24391,VR,023074,H712,SAN MAURO DI SALINE,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,24391,1
24392,PD,028100,L900,VIGONZA,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,24392,1
24393,RO,029007,B069,BOSARO,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,24393,1
24457,TV,026076,I382,SAN VENDEMIANO,1900-01-01,4712-12-31,2000-05-12,24075,TREVISO,24457,1
25415,RO,029049,L967,VILLAMARZANA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,25415,1
24581,PD,028068,G850,PONTELONGO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,24581,1
24645,RO,029042,H689,SALARA,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,24645,1
24711,RO,029011,C122,CASTELGUGLIELMO,1900-01-01,4712-12-31,2000-05-12,32970,ROVIGO,24711,1
24839,VI,024047,E226,GRUMOLO DELLE ABBADESSE,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,24839,1
24904,VI,024016,B161,BRESSANVIDO,1900-01-01,4712-12-31,2000-05-12,58123,VICENZA,24904,1
24135,VR,023039,E284,ILLASI,1900-01-01,4712-12-31,2000-05-12,15178,VERONA,24135,1
26311,VI,024031,C734,CISMON DEL GRAPPA,1900-01-01,2019-01-30,2000-05-12,58123,VICENZA,26311,1
26439,VE,027037,I551,SCORZE',1900-01-01,4712-12-31,2000-05-12,7051,VENEZIA,26439,1
26567,PD,028073,H655,SACCOLONGO,1900-01-01,4712-12-31,2000-05-12,49995,PADOVA,26567,1
