ID_DATI_TECNICI,ID_OPERAZIONE,ID_FONTE,ID_TIPO_EVENTO,ID_VEICOLO,DATA_DECORRENZA,DATA_CANCELLAZIONE,TARGA,SCADENZA_ATTRIBUITA,TRASPORTO_MERCI,MASSA_COMPLESSIVA,KILO_WATT,PORTATA,FLAG_SOSPENSIONE,NUMERO_POSTI,NUMERO_ASSI,POTENZA_FISCALE,CILINDRATA,FLAG_ECODIESEL,FLAG_GANCIO,MASSA_RIMORCHIABILE,ID_TIPO_COMBUSTIBILE,ID_DESTINAZIONE_VEICOLO,ID_TIPO_CARROZZERIA,ID_TIPO_USO,FLAG_RIMORCHIABILITA,ID_CATEGORIA_EURO,EMISSIONE_CO2,DATA_INSTAL_GPL,DATA_DISINSTAL_GPL,DATA_COLLAUDO_GPL,ID_TIPO_COMBUSTIBILE_GAS,ID_ENTE_CERTIFICATORE_STORICO,COD_ISCRIZ_REGIST_VEIC_STORICO
500048,940000000000048,1,4,300048,2024-08-24,,KF896YP,12,N,1273,210,919,N,8,3,29,1145,N,N,2149,3,1,1,4,S,6,67,,,,,,
500049,940000000000049,2,5,300049,2020-08-05,,JJ342KU,5,N,1435,132,1902,N,9,3,20,2209,S,S,1794,1,2,2,5,S,5,227,,,,,,
500050,940000000000050,3,1,300050,2024-12-04,,RR363AU,7,N,1641,147,2958,N,3,3,20,1096,N,S,1362,3,3,3,1,S,6,148,,,,,,
500051,940000000000051,1,2,300051,2020-11-26,,VE728CY,8,N,3162,61,462,N,3,3,8,2209,S,S,708,1,4,4,2,N,4,223,,,,,1,STOR000051
500052,940000000000052,2,3,300052,2024-01-08,,XN957UZ,3,N,2090,107,2099,N,3,1,24,2905,N,N,791,3,5,5,3,S,6,223,,,,,,
500053,940000000000053,3,4,300053,2018-04-20,,FU788TH,4,N,4090,162,292,N,6,2,29,1381,S,N,891,1,6,6,4,N,5,86,,,,,,
500054,940000000000054,1,5,300054,2022-03-05,,WT550RZ,6,N,954,80,574,N,9,4,32,922,S,N,1300,1,1,7,5,N,5,101,,,,2,,
500055,940000000000055,2,1,300055,2021-10-31,,TN381TL,6,N,12339,99,1111,N,6,2,14,2099,S,S,666,4,2,8,1,S,4,132,,,,,,
500056,940000000000056,3,2,300056,2018-04-13,,WT147DC,8,S,5914,68,985,N,2,3,36,906,S,N,1599,2,3,1,2,S,4,157,,,,,,
500057,940000000000057,1,3,300057,2021-02-01,,KN090PF,8,N,5488,120,1710,N,6,4,13,2050,N,S,806,4,4,2,3,N,3,162,,,,,,
500058,940000000000058,2,4,300058,2021-05-09,,DL725SN,5,N,1942,57,336,N,3,2,36,1567,N,N,2470,3,5,3,4,S,6,118,,,,,,
500059,940000000000059,3,5,300059,2018-08-25,,AH621AC,10,S,13491,133,2404,N,5,3,27,2849,N,S,1072,3,6,4,5,S,5,158,,,,,,
500060,940000000000060,1,1,300060,2019-04-06,,GY042YD,11,N,3285,102,723,N,7,3,25,968,S,N,1745,3,1,5,1,N,6,131,,,,,,
500061,940000000000061,2,2,300061,2024-03-13,,JG347CW,9,N,3013,52,2537,N,3,4,34,2603,N,S,1814,4,2,6,2,N,4,89,,,,,,
500062,940000000000062,3,3,300062,2020-04-15,,RH305CA,4,N,3136,105,605,N,9,2,10,2774,N,S,550,2,3,7,3,N,4,155,,,,,,
500063,940000000000063,1,4,300063,2025-05-29,,JE204VY,4,N,12386,119,2385,N,3,2,35,2040,N,N,2432,4,4,8,4,N,6,96,,,,2,,
500064,940000000000064,2,5,300064,2025-01-30,,WS482DF,6,N,2952,219,2205,N,4,4,26,2319,S,N,2258,1,5,1,5,N,4,86,,,,,,
500065,940000000000065,3,1,300065,2021-09-10,,XD759FV,12,N,3411,168,223,N,3,3,24,2721,N,S,2397,4,6,2,1,S,5,75,,,,,,
500066,940000000000066,1,2,300066,2018-06-17,,SM971ZG,12,N,3265,88,722,N,9,1,36,2163,N,S,2363,1,1,3,2,S,5,90,,,,,,
500067,940000000000067,2,3,300067,2022-12-14,,MG245SD,7,N,1779,169,982,N,5,4,18,1369,S,N,800,4,2,4,3,S,5,119,,,,,,
500068,940000000000068,3,4,300068,2018-05-20,,JC444KL,3,N,1338,134,914,N,2,2,34,1348,S,N,2476,1,3,5,4,S,6,70,,,,,1,STOR000068
500069,940000000000069,1,5,300069,2023-12-21,,ZK747VC,9,N,3335,180,288,N,3,2,28,1589,N,S,768,1,4,6,5,S,5,215,,,,,,
500070,940000000000070,2,1,300070,2021-10-16,,JE099DM,12,N,7461,111,1479,N,2,4,25,2495,N,N,710,3,5,7,1,S,5,71,,,,,,
500071,940000000000071,3,2,300071,2019-04-07,,LD584LC,12,N,2146,170,2670,N,4,4,24,2618,S,N,2499,4,6,8,2,S,4,146,,,,,,
500072,940000000000072,1,3,300072,2021-08-06,,HR630KA,6,N,1326,50,2189,N,3,4,29,2623,S,N,1468,1,1,1,3,N,6,127,,,,2,,
500073,940000000000073,2,4,300073,2025-10-26,,KW055VC,7,N,2351,141,1260,N,8,4,34,1227,S,S,1921,3,2,2,4,N,4,209,,,,,,
500074,940000000000074,3,5,300074,2023-10-14,,SD811LM,3,N,17256,152,861,N,4,4,33,2047,S,S,1271,2,3,3,5,N,5,120,,,,,,
500075,940000000000075,1,1,300075,2021-10-04,,TE930TR,7,N,6079,73,1323,N,7,1,20,2640,S,N,1274,4,4,4,1,N,6,148,,,,,,
500076,940000000000076,2,2,300076,2021-09-09,,AW399CH,11,N,3137,113,2243,N,6,3,33,2829,S,N,551,3,5,5,2,N,3,100,,,,,,
500077,940000000000077,3,3,300077,2019-03-04,,ZF954JW,1,N,2744,56,331,N,7,4,9,2027,S,S,1421,4,6,6,3,N,4,160,,,,,,
500078,940000000000078,1,4,300078,2019-08-11,,UM894AZ,10,N,3413,50,244,N,7,4,33,1691,N,N,1974,4,1,7,4,S,5,143,,,,,,
500079,940000000000079,2,5,300079,2018-11-20,,YR945FS,4,N,13970,118,214,N,2,1,17,1706,N,N,1062,3,2,8,5,S,5,191,,,,,,
500080,940000000000080,3,1,300080,2023-01-08,,CM156ZY,8,N,2127,164,2044,N,2,4,29,902,S,N,2310,1,3,1,1,N,6,133,,,,,,
500081,940000000000081,1,2,300081,2025-05-11,,AN715DY,10,N,2138,48,1782,N,7,3,17,2382,S,N,521,3,4,2,2,S,6,152,,,,2,,
500082,940000000000082,2,3,300082,2022-08-02,,DK395KZ,6,N,3033,59,151,N,3,2,25,1319,N,N,1782,4,5,3,3,N,4,108,,,,,,
500083,940000000000083,3,4,300083,2024-09-18,,UA846MS,8,N,1059,96,1769,N,5,4,34,907,S,N,1130,1,6,4,4,S,5,111,,,,,,
500084,940000000000084,1,5,300084,2025-12-06,,GX023LH,8,N,8173,169,1456,N,3,1,19,1942,S,S,741,3,1,5,5,S,6,99,,,,,,
500085,940000000000085,2,1,300085,2022-08-15,,NH069XS,10,N,2580,95,364,N,2,3,9,1534,S,N,753,1,2,6,1,N,4,127,,,,,1,STOR000085
500086,940000000000086,3,2,300086,2025-05-20,,MX425AG,3,N,2303,202,1456,N,5,1,24,2772,S,N,842,4,3,7,2,N,4,82,,,,,,
500087,940000000000087,1,3,300087,2022-04-07,,ZE526FW,2,N,3425,81,517,N,5,4,11,2784,N,N,1264,2,4,8,3,S,5,216,,,,,,
500088,940000000000088,2,4,300088,2022-09-11,,NF268WT,8,N,1707,48,775,N,9,4,13,1258,S,S,2038,1,5,1,4,S,4,168,,,,,,
500089,940000000000089,3,5,300089,2024-01-29,,YT708RN,11,N,1421,204,2600,N,3,1,21,2228,N,N,501,1,6,2,5,S,4,135,,,,,,
500090,940000000000090,1,1,300090,2019-08-22,,TT780KM,6,N,2595,86,600,N,8,4,22,1186,N,S,1440,4,1,3,1,S,4,164,,,,2,,
500091,940000000000091,2,2,300091,2020-04-24,,KR561EL,7,N,2285,61,513,N,9,4,32,1835,N,S,1344,1,2,4,2,S,4,192,,,,,,
500092,940000000000092,3,3,300092,2018-12-30,,GS698FA,6,S,4793,147,934,N,8,4,36,2928,N,S,1086,3,3,5,3,S,6,93,,,,,,
500093,940000000000093,1,4,300093,2022-12-14,,VW394SL,9,N,1770,183,2418,N,2,4,13,2368,N,S,1070,4,4,6,4,N,5,118,,,,,,
500094,940000000000094,2,5,300094,2018-07-21,,FE016SY,8,N,2092,88,369,N,2,1,29,2689,S,S,526,4,5,7,5,S,5,93,,,,,,
500095,940000000000095,3,1,300095,2025-08-07,,PA392GA,8,N,2429,125,198,N,2,2,25,1237,N,S,1835,1,6,8,1,S,5,237,,,,,,
500096,940000000000096,1,2,300096,2020-10-03,,JY956RG,7,N,1922,80,1094,N,5,1,34,1223,S,N,1632,4,1,1,2,N,4,123,,,,,,
500097,940000000000097,2,3,300097,2023-11-09,,PN514MZ,1,N,2811,84,1739,N,4,3,14,2792,N,N,1852,3,2,2,3,N,5,118,,,,,,
500098,940000000000098,3,4,300098,2018-07-10,,KV066BM,4,N,15209,103,636,N,2,4,11,2476,N,N,1760,3,3,3,4,S,5,229,,,,,,
500099,940000000000099,1,5,300099,2019-11-14,,JM206RY,4,N,1674,78,1567,N,5,3,10,2326,N,S,2115,4,4,4,5,N,6,146,,,,2,,
500100,940000000000100,2,1,300100,2018-05-21,,HM990CE,3,N,2701,84,2406,N,4,3,33,1343,N,N,2212,4,5,5,1,S,6,123,,,,,,
500101,940000000000101,3,2,300101,2019-02-24,,EE155NF,9,N,2861,128,1474,N,8,3,10,1665,S,S,645,1,6,6,2,N,6,216,,,,,,
500102,940000000000102,1,3,300102,2019-10-13,,LK973ED,10,N,1606,56,859,N,9,3,10,1286,S,S,1539,1,1,7,3,S,4,149,,,,,1,STOR000102
500103,940000000000103,2,4,300103,2018-04-02,,XZ993GV,10,N,2922,59,2721,N,9,2,35,946,S,N,517,2,2,8,4,S,4,100,,,,,,
500104,940000000000104,3,5,300104,2021-01-21,,SR426NU,10,N,2305,57,1657,N,9,2,35,2572,N,N,988,4,3,1,5,N,5,120,,,,,,
500105,940000000000105,1,1,300105,2018-02-18,,TB514BL,8,S,9117,199,1064,N,9,4,11,1110,S,S,963,4,4,2,1,S,4,121,,,,,,
500106,940000000000106,2,2,300106,2021-04-17,,MC145GC,7,N,5575,202,1062,N,4,1,17,1667,N,N,1996,1,5,3,2,S,4,121,,,,,,
500107,940000000000107,3,3,300107,2021-07-31,,JF215LU,11,N,6813,117,836,N,5,4,8,1165,N,S,1584,1,6,4,3,S,5,225,,,,,,
500108,940000000000108,1,4,300108,2023-06-04,,KY163FN,9,N,2108,91,607,N,2,1,8,2180,N,N,1080,1,1,5,4,S,4,155,,,,2,,
500109,940000000000109,2,5,300109,2020-05-18,,CA647LX,6,N,1534,45,2413,N,4,2,29,2968,N,N,2255,4,2,6,5,S,5,81,,,,,,
500110,940000000000110,3,1,300110,2021-04-26,,BK920MG,10,N,10510,215,631,N,6,4,13,1007,N,S,1396,3,3,7,1,S,4,68,,,,,,
500111,940000000000111,1,2,300111,2020-01-19,,SX625ZY,6,N,1905,185,1001,N,6,1,23,1289,N,N,1752,4,4,8,2,S,5,83,,,,,,
500112,940000000000112,2,3,300112,2024-01-15,,AX609KF,12,N,11845,122,2426,N,8,4,21,1240,N,N,1593,2,5,1,3,N,6,139,,,,,,
500113,940000000000113,3,4,300113,2022-03-12,,RY116AR,8,N,5183,122,2508,N,9,4,9,2063,N,N,707,2,6,2,4,N,5,148,,,,,,
500114,940000000000114,1,5,300114,2023-08-20,,TG716TJ,8,N,3192,110,1517,N,2,3,9,2766,S,S,1762,3,1,3,5,S,5,180,,,,,,
500115,940000000000115,2,1,300115,2020-07-23,,DS615HP,2,N,2764,88,1807,N,6,2,24,2373,S,N,1413,2,2,4,1,S,6,222,,,,,,
500116,940000000000116,3,2,300116,2020-10-05,,GG286JR,9,N,962,91,966,N,6,1,8,1925,S,S,2331,1,3,5,2,S,6,112,,,,,,
500117,940000000000117,1,3,300117,2025-01-16,,ZC401MA,5,N,8787,155,2301,N,2,3,10,2982,N,S,986,1,4,6,3,S,5,134,,,,2,,
500118,940000000000118,2,4,300118,2018-06-10,,GK350HC,10,N,2979,209,2095,N,8,1,14,2529,S,N,1950,3,5,7,4,N,4,78,,,,,,
500119,940000000000119,3,5,300119,2023-12-28,,DM935PW,6,N,1502,63,697,N,3,4,28,1349,S,N,2071,3,6,8,5,S,6,80,,,,,1,STOR000119
500120,940000000000120,1,1,300120,2024-06-14,,NW390DW,9,N,1279,211,2952,N,9,4,32,1003,N,N,2210,1,1,1,1,N,6,126,,,,,,
500121,940000000000121,2,2,300121,2024-02-01,,FN557EY,6,N,3104,50,2586,N,8,1,14,2187,S,N,1080,3,2,2,2,S,3,208,,,,,,
500122,940000000000122,3,3,300122,2022-07-30,,YE490MP,11,N,2717,84,1890,N,8,4,23,1047,N,S,2282,1,3,3,3,N,6,170,,,,,,
500123,940000000000123,1,4,300123,2020-06-16,,CM164CE,4,N,969,130,1440,N,7,2,27,2494,N,S,1296,3,4,4,4,S,6,140,,,,,,
500124,940000000000124,2,5,300124,2024-05-23,,FH297ZN,11,N,2660,40,2170,N,7,2,22,2942,S,S,794,1,5,5,5,N,5,164,,,,,,
500125,940000000000125,3,1,300125,2023-07-31,,GT186JK,10,S,5052,186,1164,N,9,3,12,2980,N,S,2115,4,6,6,1,S,5,87,,,,,,
500126,940000000000126,1,2,300126,2020-12-22,,LF363VY,6,N,1821,100,1962,N,2,1,23,2295,S,N,778,2,1,7,2,S,4,128,,,,2,,
500127,940000000000127,2,3,300127,2018-03-27,,SA678HF,6,N,17062,56,2022,N,5,1,8,1822,N,N,1040,4,2,8,3,N,4,221,,,,,,
500128,940000000000128,3,4,300128,2023-02-23,,CX681RN,11,N,17332,146,530,N,7,4,19,2523,S,S,1696,1,3,1,4,S,6,65,,,,,,
500129,940000000000129,1,5,300129,2021-02-10,,DE214UU,8,N,1436,71,2186,N,8,2,33,2781,N,N,1697,1,4,2,5,S,6,82,,,,,,
500130,940000000000130,2,1,300130,2019-08-13,,BN140KK,9,N,3317,88,2020,N,9,2,31,1685,N,N,519,2,5,3,1,N,6,200,,,,,,
500131,940000000000131,3,2,300131,2024-05-15,,HR038EA,8,N,3194,137,2002,N,3,2,27,1829,N,N,1350,4,6,4,2,S,4,190,,,,,,
500132,940000000000132,1,3,300132,2022-04-05,,TL557DU,1,N,2797,83,2992,N,4,2,33,2628,N,S,2128,3,1,5,3,S,6,92,,,,,,
500133,940000000000133,2,4,300133,2025-01-22,,UC721JK,3,N,1023,78,2970,N,3,4,19,1373,S,S,1066,4,2,6,4,N,6,129,,,,,,
500134,940000000000134,3,5,300134,2018-05-05,,LP533PA,6,N,2018,102,720,N,3,3,21,1621,N,N,2497,3,3,7,5,S,5,113,,,,,,
500135,940000000000135,1,1,300135,2019-02-14,,NY654UJ,7,N,3150,77,910,N,6,3,8,1347,N,S,1199,3,4,8,1,N,6,85,,,,2,,
500136,940000000000136,2,2,300136,2021-08-08,,NW388HT,12,N,3300,84,1409,N,9,1,11,2486,S,S,776,2,5,1,2,S,5,141,,,,,1,STOR000136
500137,940000000000137,3,3,300137,2018-02-09,,CG624BC,3,N,9548,138,1363,N,7,1,28,1685,S,N,2055,4,6,2,3,N,3,112,,,,,,
500138,940000000000138,1,4,300138,2025-02-25,,PD554TK,8,N,2495,148,1527,N,6,1,32,1696,N,S,749,4,1,3,4,N,4,75,,,,,,
500139,940000000000139,2,5,300139,2022-03-06,,UF511YB,8,N,2314,140,902,N,3,2,13,1818,N,N,2396,3,2,4,5,N,3,193,,,,,,
500140,940000000000140,3,1,300140,2023-08-28,,JW676VD,2,N,1839,178,1517,N,5,2,13,1614,N,N,1215,4,3,5,1,N,6,65,,,,,,
500141,940000000000141,1,2,300141,2023-12-17,,CE276KS,4,N,1247,105,1530,N,8,2,16,1913,S,S,2024,2,4,6,2,N,5,201,,,,,,
500142,940000000000142,2,3,300142,2019-10-19,,HM109VN,8,N,2877,219,2268,N,9,3,19,2912,S,N,2489,3,5,7,3,N,4,91,,,,,,
500143,940000000000143,3,4,300143,2019-07-31,,SJ874LU,12,N,2962,194,1335,N,7,4,28,1610,N,N,1758,1,6,8,4,S,5,99,,,,,,
500144,940000000000144,1,5,300144,2024-09-20,,JE310DX,8,N,12498,98,856,N,9,2,32,1703,N,S,1184,3,1,1,5,S,5,161,,,,2,,
500145,940000000000145,2,1,300145,2022-07-02,,ZZ199YS,1,N,1176,75,1417,N,3,4,13,2465,S,N,2243,1,2,2,1,S,6,189,,,,,,
500146,940000000000146,3,2,300146,2019-12-07,,XP904JE,1,N,3146,116,2287,N,3,1,11,1560,S,N,798,3,3,3,2,N,5,97,,,,,,
500147,940000000000147,1,3,300147,2023-05-26,,DY448NA,7,N,3152,90,374,N,5,3,25,2014,N,N,1383,3,4,4,3,S,4,144,,,,,,
500148,940000000000148,2,4,300148,2022-05-29,,LN774AX,12,N,2735,134,597,N,9,3,13,2560,S,S,1025,4,5,5,4,N,5,114,,,,,,
500149,940000000000149,3,5,300149,2019-03-02,,ZB906RN,3,N,2654,61,2608,N,5,3,12,2628,S,S,836,3,6,6,5,S,5,171,,,,,,
500150,940000000000150,1,1,300150,2018-07-17,,MX876WZ,10,N,11797,114,1370,N,8,4,19,2553,S,N,2460,3,1,7,1,S,5,213,,,,,,
500151,940000000000151,2,2,300151,2022-09-20,,BA581ND,8,N,1490,135,2611,N,3,4,31,2570,N,S,1871,3,2,8,2,N,5,120,,,,,,
500152,940000000000152,3,3,300152,2022-08-12,,ER696DG,6,N,2131,75,2028,N,9,3,26,1224,N,S,898,2,3,1,3,N,4,223,,,,,,
500153,940000000000153,1,4,300153,2019-06-27,,PB676SE,9,N,1001,147,1328,N,9,2,8,1739,N,N,943,3,4,2,4,S,6,149,,,,2,1,STOR000153
500154,940000000000154,2,5,300154,2018-11-27,,HV988GA,6,N,2170,80,1177,N,5,4,15,2156,S,S,1302,3,5,3,5,N,4,110,,,,,,
500155,940000000000155,3,1,300155,2023-08-19,,EX162KB,10,N,1163,55,2522,N,3,3,33,1583,N,S,649,2,6,4,1,N,3,144,,,,,,
500156,940000000000156,1,2,300156,2018-06-23,,TR076WL,12,N,6856,75,2401,N,5,1,13,1360,N,S,1479,2,1,5,2,S,4,94,,,,,,
500157,940000000000157,2,3,300157,2022-08-09,,YN775ZD,2,N,1830,132,2770,N,5,4,30,1045,N,S,2056,4,2,6,3,N,4,120,,,,,,
500158,940000000000158,3,4,300158,2024-12-06,,CX200YE,3,S,4852,109,2252,N,8,1,19,950,N,S,957,4,3,7,4,S,4,103,,,,,,
500159,940000000000159,1,5,300159,2021-06-17,,MP716FN,5,N,15722,93,2487,N,4,4,9,2648,S,S,1932,3,4,8,5,N,6,125,,,,,,
500160,940000000000160,2,1,300160,2018-06-20,,DH618RZ,3,N,1094,121,1037,N,9,4,11,1640,S,S,2247,3,5,1,1,S,5,175,,,,,,
500161,940000000000161,3,2,300161,2020-12-11,,VL059HW,6,S,13484,79,1535,N,2,4,36,2490,N,N,2052,2,6,2,2,S,4,152,,,,,,
500162,940000000000162,1,3,300162,2018-02-15,,MR735BP,12,N,1551,202,921,N,6,1,33,2408,N,S,931,3,1,3,3,S,4,115,,,,2,,
