ID_POSIZIONE,ID_OPERAZIONE,ID_TIPO_EVENTO,ID_FONTE,ID_PROPRIETARIO,ID_VEICOLO,DATA_DECORRENZA,DATA_CANCELLAZIONE,ID_REGIONE
400141,930000000000141,2,1,100047,300141,2018-10-20,,5
400142,930000000000142,3,2,100220,300142,2020-03-30,,5
400143,930000000000143,4,3,100041,300143,2022-06-27,,5
400144,930000000000144,1,1,100457,300144,2018-02-23,,5
400145,930000000000145,2,2,100332,300145,2022-01-22,,5
400146,930000000000146,3,3,100294,300146,2023-12-06,,5
400147,930000000000147,4,1,100337,300147,2025-05-27,,5
400148,930000000000148,1,2,100313,300148,2019-03-12,,5
400149,930000000000149,2,3,100300,300149,2023-12-10,,5
400150,930000000000150,3,1,100478,300150,2023-12-14,,5
400151,930000000000151,4,2,100006,300151,2022-01-24,,5
400152,930000000000152,1,3,100269,300152,2025-06-17,,5
400153,930000000000153,2,1,100190,300153,2019-11-12,,5
400154,930000000000154,3,2,100462,300154,2023-01-22,,5
400155,930000000000155,4,3,100295,300155,2021-02-02,,5
400156,930000000000156,1,1,100138,300156,2022-10-09,,5
400157,930000000000157,2,2,100375,300157,2018-12-08,,5
400158,930000000000158,3,3,100473,300158,2024-02-11,,5
400159,930000000000159,4,1,100012,300159,2021-09-17,,5
400160,930000000000160,1,2,100290,300160,2020-02-24,,5
400161,930000000000161,2,3,100172,300161,2020-08-27,,5
400162,930000000000162,3,1,100145,300162,2020-08-23,,5
400163,930000000000163,4,2,100042,300163,2020-01-22,,5
400164,930000000000164,1,3,100496,300164,2019-04-16,,5
400165,930000000000165,2,1,100110,300165,2022-05-24,,5
400166,930000000000166,3,2,100261,300166,2019-09-28,,5
400167,930000000000167,4,3,100427,300167,2021-10-27,,5
400168,930000000000168,1,1,100484,300168,2020-05-09,,5
400169,930000000000169,2,2,100324,300169,2023-12-20,,5
400170,930000000000170,3,3,100467,300170,2025-10-10,,5
400171,930000000000171,4,1,100469,300171,2018-12-30,,5
400172,930000000000172,1,2,100139,300172,2019-01-11,,5
400173,930000000000173,2,3,100082,300173,2024-08-14,,5
400174,930000000000174,3,1,100111,300174,2021-02-06,,5
400175,930000000000175,4,2,100440,300175,2022-01-22,,5
400176,930000000000176,1,3,100491,300176,2023-03-19,,5
400177,930000000000177,2,1,100016,300177,2023-09-28,,5
400178,930000000000178,3,2,100360,300178,2021-04-06,,5
400179,930000000000179,4,3,100354,300179,2020-12-27,,5
400180,930000000000180,1,1,100186,300180,2019-08-15,,5
400181,930000000000181,2,2,100199,300181,2024-07-31,,5
400182,930000000000182,3,3,100465,300182,2021-06-14,,5
400183,930000000000183,4,1,100196,300183,2023-01-31,,5
400184,930000000000184,1,2,100251,300184,2019-01-29,,5
400185,930000000000185,2,3,100175,300185,2022-08-18,,5
400186,930000000000186,3,1,100063,300186,2018-10-10,,5
400187,930000000000187,4,2,100233,300187,2022-06-20,,5
400188,930000000000188,1,3,100055,300188,2023-04-19,,5
400189,930000000000189,2,1,100311,300189,2020-08-17,,5
400190,930000000000190,3,2,100450,300190,2023-07-01,,5
400191,930000000000191,4,3,100296,300191,2018-09-16,,5
400192,930000000000192,1,1,100317,300192,2023-10-12,,5
400193,930000000000193,2,2,100255,300193,2019-04-13,,5
400194,930000000000194,3,3,100329,300194,2023-08-09,,5
400195,930000000000195,4,1,100315,300195,2018-10-11,,5
400196,930000000000196,1,2,100038,300196,2021-06-22,,5
400197,930000000000197,2,3,100403,300197,2022-01-22,,5
400198,930000000000198,3,1,100272,300198,2023-09-04,,5
400199,930000000000199,4,2,100438,300199,2025-03-05,,5
400200,930000000000200,1,3,100499,300200,2023-07-10,,5
400201,930000000000201,2,1,100171,300201,2022-08-04,,5
400202,930000000000202,3,2,100103,300202,2020-02-23,,5
400203,930000000000203,4,3,100247,300203,2021-08-24,,5
400204,930000000000204,1,1,100491,300204,2023-03-18,,5
400205,930000000000205,2,2,100271,300205,2022-01-13,,5
400206,930000000000206,3,3,100008,300206,2019-08-24,,5
400207,930000000000207,4,1,100384,300207,2019-04-24,,5
400208,930000000000208,1,2,100414,300208,2021-03-06,,5
400209,930000000000209,2,3,100191,300209,2020-06-01,,5
400210,930000000000210,3,1,100146,300210,2022-09-08,,5
400211,930000000000211,4,2,100281,300211,2022-11-28,,5
400212,930000000000212,1,3,100197,300212,2022-05-17,,5
400213,930000000000213,2,1,100316,300213,2019-04-13,,5
400214,930000000000214,3,2,100428,300214,2019-08-24,,5
400215,930000000000215,4,3,100160,300215,2020-04-11,,5
400216,930000000000216,1,1,100130,300216,2019-12-24,,5
400217,930000000000217,2,2,100199,300217,2024-03-25,,5
400218,930000000000218,3,3,100083,300218,2019-04-02,,5
400219,930000000000219,4,1,100124,300219,2024-10-10,,5
400220,930000000000220,1,2,100313,300220,2019-11-25,,5
400221,930000000000221,2,3,100389,300221,2025-08-30,,5
400222,930000000000222,3,1,100029,300222,2025-03-25,,5
400223,930000000000223,4,2,100462,300223,2019-10-31,,5
400224,930000000000224,1,3,100359,300224,2021-08-14,,5
400225,930000000000225,2,1,100267,300225,2019-10-04,,5
400226,930000000000226,3,2,100222,300226,2020-04-07,,5
400227,930000000000227,4,3,100405,300227,2023-06-28,,5
400228,930000000000228,1,1,100109,300228,2020-10-11,,5
400229,930000000000229,2,2,100243,300229,2021-12-05,,5
400230,930000000000230,3,3,100019,300230,2024-01-14,,5
400231,930000000000231,4,1,100240,300231,2025-08-25,,5
400232,930000000000232,1,2,100298,300232,2023-06-30,,5
400233,930000000000233,2,3,100227,300233,2020-12-30,,5
400234,930000000000234,3,1,100060,300234,2022-05-11,,5
400235,930000000000235,4,2,100143,300235,2025-05-16,,5
400236,930000000000236,1,3,100234,300236,2024-12-28,,5
400237,930000000000237,2,1,100076,300237,2024-02-08,,5
400238,930000000000238,3,2,100226,300238,2022-11-17,,5
400239,930000000000239,4,3,100005,300239,2021-02-12,,5
400240,930000000000240,1,1,100202,300240,2023-10-04,,5
400241,930000000000241,2,2,100427,300241,2025-06-05,,5
400242,930000000000242,3,3,100267,300242,2020-07-01,,5
400243,930000000000243,4,1,100175,300243,2021-10-31,,5
400244,930000000000244,1,2,100409,300244,2020-04-29,,5
400245,930000000000245,2,3,100119,300245,2025-05-08,,5
400246,930000000000246,3,1,100013,300246,2022-12-12,,5
400247,930000000000247,4,2,100436,300247,2022-04-19,,5
400248,930000000000248,1,3,100363,300248,2023-03-15,,5
400249,930000000000249,2,1,100461,300249,2020-10-13,,5
400250,930000000000250,3,2,100169,300250,2025-12-02,,5
400251,930000000000251,4,3,100409,300251,2018-08-25,,5
400252,930000000000252,1,1,100038,300252,2025-12-30,,5
400253,930000000000253,2,2,100171,300253,2023-10-27,,5
400254,930000000000254,3,3,100314,300254,2020-10-07,,5
400255,930000000000255,4,1,100267,300255,2025-05-16,,5
400256,930000000000256,1,2,100423,300256,2019-11-02,,5
400257,930000000000257,2,3,100430,300257,2022-06-12,,5
400258,930000000000258,3,1,100035,300258,2022-09-10,,5
400259,930000000000259,4,2,100441,300259,2024-02-17,,5
400260,930000000000260,1,3,100213,300260,2023-04-12,,5
400261,930000000000261,2,1,100051,300261,2024-12-31,,5
400262,930000000000262,3,2,100122,300262,2023-08-27,,5
400263,930000000000263,4,3,100421,300263,2021-04-18,,5
400264,930000000000264,1,1,100060,300264,2025-12-11,,5
400265,930000000000265,2,2,100079,300265,2025-09-12,,5
400266,930000000000266,3,3,100390,300266,2023-04-30,,5
400267,930000000000267,4,1,100011,300267,2021-10-13,,5
400268,930000000000268,1,2,100094,300268,2019-03-10,,5
400269,930000000000269,2,3,100327,300269,2022-05-05,,5
400270,930000000000270,3,1,100229,300270,2018-12-15,,5
400271,930000000000271,4,2,100052,300271,2021-07-28,,5
400272,930000000000272,1,3,100472,300272,2019-09-27,,5
400273,930000000000273,2,1,100464,300273,2019-01-06,,5
400274,930000000000274,3,2,100308,300274,2025-01-22,,5
400275,930000000000275,4,3,100117,300275,2024-11-10,,5
400276,930000000000276,1,1,100210,300276,2021-11-23,,5
400277,930000000000277,2,2,100483,300277,2022-01-31,,5
400278,930000000000278,3,3,100244,300278,2022-03-23,,5
400279,930000000000279,4,1,100463,300279,2019-05-16,,5
400280,930000000000280,1,2,100298,300280,2019-08-23,,5
400281,930000000000281,2,3,100039,300281,2021-01-09,,5
400282,930000000000282,3,1,100136,300282,2025-01-13,,5
400283,930000000000283,4,2,100208,300283,2019-05-05,,5
400284,930000000000284,1,3,100082,300284,2021-04-08,,5
400285,930000000000285,2,1,100026,300285,2025-09-30,,5
400286,930000000000286,3,2,100360,300286,2022-11-19,,5
400287,930000000000287,4,3,100310,300287,2022-07-26,,5
400288,930000000000288,1,1,100425,300288,2020-08-04,,5
400289,930000000000289,2,2,100072,300289,2024-08-16,,5
400290,930000000000290,3,3,100286,300290,2019-12-26,,5
400291,930000000000291,4,1,100431,300291,2024-02-17,,5
400292,930000000000292,1,2,100323,300292,2018-06-18,,5
400293,930000000000293,2,3,100262,300293,2020-02-10,,5
400294,930000000000294,3,1,100449,300294,2022-01-18,,5
400295,930000000000295,4,2,100284,300295,2020-09-05,,5
400296,930000000000296,1,3,100001,300296,2022-06-28,,5
400297,930000000000297,2,1,100424,300297,2025-02-28,,5
400298,930000000000298,3,2,100058,300298,2018-05-13,,5
400299,930000000000299,4,3,100413,300299,2023-09-30,,5
400300,930000000000300,1,1,100432,300300,2019-05-25,,5
400301,930000000000301,2,2,100012,300301,2019-03-09,,5
400302,930000000000302,3,3,100488,300302,2018-06-03,,5
400303,930000000000303,4,1,100168,300303,2025-11-26,,5
400304,930000000000304,1,2,100467,300304,2019-08-14,,5
400305,930000000000305,2,3,100241,300305,2024-11-14,,5
400306,930000000000306,3,1,100034,300306,2025-09-12,,5
400307,930000000000307,4,2,100452,300307,2019-12-26,,5
400308,930000000000308,1,3,100005,300308,2022-11-29,,5
400309,930000000000309,2,1,100246,300309,2023-09-25,,5
400310,930000000000310,3,2,100191,300310,2018-12-27,,5
400311,930000000000311,4,3,100375,300311,2024-01-26,,5
400312,930000000000312,1,1,100337,300312,2025-03-16,,5
400313,930000000000313,2,2,100401,300313,2025-11-08,,5
400314,930000000000314,3,3,100427,300314,2024-02-10,,5
400315,930000000000315,4,1,100157,300315,2019-07-09,,5
400316,930000000000316,1,2,100290,300316,2020-03-14,,5
400317,930000000000317,2,3,100452,300317,2020-11-27,,5
400318,930000000000318,3,1,100434,300318,2024-04-15,,5
400319,930000000000319,4,2,100320,300319,2022-02-28,,5
400320,930000000000320,1,3,100420,300320,2023-10-28,,5
400321,930000000000321,2,1,100242,300321,2021-02-26,,5
400322,930000000000322,3,2,100412,300322,2020-12-12,,5
400323,930000000000323,4,3,100176,300323,2022-10-22,,5
400324,930000000000324,1,1,100236,300324,2024-11-04,,5
400325,930000000000325,2,2,100418,300325,2020-11-18,,5
400326,930000000000326,3,3,100158,300326,2019-05-03,,5
400327,930000000000327,4,1,100492,300327,2022-11-13,,5
400328,930000000000328,1,2,100095,300328,2024-10-10,,5
400329,930000000000329,2,3,100250,300329,2021-08-07,,5
400330,930000000000330,3,1,100419,300330,2024-02-06,,5
400331,930000000000331,4,2,100218,300331,2023-01-17,,5
400332,930000000000332,1,3,100444,300332,2020-01-18,,5
400333,930000000000333,2,1,100274,300333,2023-05-02,,5
400334,930000000000334,3,2,100077,300334,2023-11-14,,5
400335,930000000000335,4,3,100215,300335,2020-09-24,,5
400336,930000000000336,1,1,100310,300336,2024-09-22,,5
400337,930000000000337,2,2,100005,300337,2019-01-01,,5
400338,930000000000338,3,3,100127,300338,2022-09-13,,5
400339,930000000000339,4,1,100172,300339,2023-02-01,,5
400340,930000000000340,1,2,100225,300340,2025-11-27,,5
400341,930000000000341,2,3,100196,300341,2022-12-30,,5
400342,930000000000342,3,1,100440,300342,2023-03-26,,5
400343,930000000000343,4,2,100048,300343,2023-05-31,,5
400344,930000000000344,1,3,100242,300344,2019-01-17,,5
400345,930000000000345,2,1,100049,300345,2025-10-02,,5
400346,930000000000346,3,2,100197,300346,2025-11-04,,5
400347,930000000000347,4,3,100309,300347,2022-09-02,,5
400348,930000000000348,1,1,100179,300348,2023-12-29,,5
400349,930000000000349,2,2,100485,300349,2021-02-21,,5
400350,930000000000350,3,3,100416,300350,2024-04-21,,5
400351,930000000000351,4,1,100128,300351,2025-04-06,,5
400352,930000000000352,1,2,100471,300352,2022-07-14,,5
400353,930000000000353,2,3,100338,300353,2018-12-10,,5
400354,930000000000354,3,1,100288,300354,2022-02-24,,5
400355,930000000000355,4,2,100382,300355,2021-01-25,,5
400356,930000000000356,1,3,100478,300356,2018-10-04,,5
400357,930000000000357,2,1,100383,300357,2022-06-09,,5
400358,930000000000358,3,2,100387,300358,2023-06-16,,5
400359,930000000000359,4,3,100281,300359,2019-03-08,,5
400360,930000000000360,1,1,100132,300360,2019-04-09,,5
400361,930000000000361,2,2,100479,300361,2020-03-23,,5
400362,930000000000362,3,3,100266,300362,2025-09-22,,5
400363,930000000000363,4,1,100457,300363,2024-01-21,,5
400364,930000000000364,1,2,100487,300364,2018-06-06,,5
400365,930000000000365,2,3,100242,300365,2021-12-20,,5
400366,930000000000366,3,1,100295,300366,2020-03-04,,5
400367,930000000000367,4,2,100017,300367,2024-02-23,,5
400368,930000000000368,1,3,100181,300368,2023-11-10,,5
400369,930000000000369,2,1,100165,300369,2025-07-30,,5
400370,930000000000370,3,2,100382,300370,2021-08-08,,5
400371,930000000000371,4,3,100184,300371,2025-06-18,,5
400372,930000000000372,1,1,100017,300372,2018-08-17,,5
400373,930000000000373,2,2,100133,300373,2022-04-17,,5
400374,930000000000374,3,3,100052,300374,2019-01-12,,5
400375,930000000000375,4,1,100490,300375,2023-05-09,,5
400376,930000000000376,1,2,100228,300376,2019-04-20,,5
400377,930000000000377,2,3,100390,300377,2021-04-14,,5
